ID_CONSULTATION;CONSULTATION_DATE;SYMPTOMS;DIAGNOSIS;PET_WEIGHT;ID_PET;PET_NAME;SPECIES;BREED;PET_BIRTH_DATE;PET_GENDER;ID_TUTOR;TUTOR_NAME;ID_VACCINE;VACCINE_NAME;VACCINE_APPLICATION_DATE;VACCINE_EXPIRATION_DATE;ID_MEDICAL_RECORD;PET_BLOOD_TYPE;PET_ALLERGY;CHRONIC_PET_DISEASE;IS_CASTRATED_PET;LATEST_UPDATE_MEDICAL_RECORD;ID_CLINIC;CLINIC_NAME;RISK
12;15/12/2025;Vômitos ocasionais;Doença renal crônica - estágio 3 (piora);3,57;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;7;V5 Felina;29/03/2026;29/03/2027;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;1
12;15/12/2025;Vômitos ocasionais;Doença renal crônica - estágio 3 (piora);3,57;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;8;Leucemia Felina (FeLV);21/06/2025;21/06/2026;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;1
12;15/12/2025;Vômitos ocasionais;Doença renal crônica - estágio 3 (piora);3,57;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;9;Antirrábica;05/12/2024;05/12/2025;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;1
13;12/02/2026;Letargia progressiva;Desidratação leve, ajuste de dieta renal;3,44;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;7;V5 Felina;29/03/2026;29/03/2027;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;1
13;12/02/2026;Letargia progressiva;Desidratação leve, ajuste de dieta renal;3,44;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;8;Leucemia Felina (FeLV);21/06/2025;21/06/2026;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;1
13;12/02/2026;Letargia progressiva;Desidratação leve, ajuste de dieta renal;3,44;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;9;Antirrábica;05/12/2024;05/12/2025;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;1
14;16/04/2026;Letargia progressiva;Desidratação leve, ajuste de dieta renal;3,32;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;7;V5 Felina;29/03/2026;29/03/2027;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;1
14;16/04/2026;Letargia progressiva;Desidratação leve, ajuste de dieta renal;3,32;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;8;Leucemia Felina (FeLV);21/06/2025;21/06/2026;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;1
14;16/04/2026;Letargia progressiva;Desidratação leve, ajuste de dieta renal;3,32;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;9;Antirrábica;05/12/2024;05/12/2025;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;1
15;23/07/2026;Letargia progressiva;Desidratação leve, ajuste de dieta renal;3,17;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;7;V5 Felina;29/03/2026;29/03/2027;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;1
15;23/07/2026;Letargia progressiva;Desidratação leve, ajuste de dieta renal;3,17;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;8;Leucemia Felina (FeLV);21/06/2025;21/06/2026;3;B;;Doença renal crônica (estágio inicial);S;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;1
15;23/07/2026;Letargia progressiva;Desidratação leve, ajuste de dieta renal;3,17;3;Thor;Gato;Ragdoll;09/12/2013 09:00;Fêmea;3;Mariana Ferreira Costa;9;Antirrábica;05/12/2024;05/12/2025;3;B;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;08/07/2026 09:00;4;Clínica Veterinária Bicho Manso;1
16;20/03/2025;Leve apatia;Animal hígido;27,61;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;10;Giárdia;08/10/2025;08/10/2026;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;0
16;20/03/2025;Leve apatia;Animal hígido;27,61;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;11;V10 (Polivalente);14/12/2024;14/12/2025;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;0
16;20/03/2025;Leve apatia;Animal hígido;27,61;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;12;Gripe Canina (V4);03/11/2024;03/11/2025;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;0
16;20/03/2025;Leve apatia;Animal hígido;27,61;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;13;Antirrábica;26/09/2025;26/09/2026;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;0
17;24/07/2025;Vermelhidão na pele;Otite externa secundária a alergia;27,45;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;10;Giárdia;08/10/2025;08/10/2026;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
17;24/07/2025;Vermelhidão na pele;Otite externa secundária a alergia;27,45;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;11;V10 (Polivalente);14/12/2024;14/12/2025;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
17;24/07/2025;Vermelhidão na pele;Otite externa secundária a alergia;27,45;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;12;Gripe Canina (V4);03/11/2024;03/11/2025;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
17;24/07/2025;Vermelhidão na pele;Otite externa secundária a alergia;27,45;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;13;Antirrábica;26/09/2025;26/09/2026;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
18;28/01/2026;Lambedura excessiva das patas;Piodermite superficial;27,02;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;10;Giárdia;08/10/2025;08/10/2026;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
18;28/01/2026;Lambedura excessiva das patas;Piodermite superficial;27,02;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;11;V10 (Polivalente);14/12/2024;14/12/2025;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
18;28/01/2026;Lambedura excessiva das patas;Piodermite superficial;27,02;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;12;Gripe Canina (V4);03/11/2024;03/11/2025;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
18;28/01/2026;Lambedura excessiva das patas;Piodermite superficial;27,02;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;13;Antirrábica;26/09/2025;26/09/2026;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
19;22/02/2026;Otite recorrente;Alergia alimentar suspeita;27,11;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;10;Giárdia;08/10/2025;08/10/2026;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
19;22/02/2026;Otite recorrente;Alergia alimentar suspeita;27,11;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;11;V10 (Polivalente);14/12/2024;14/12/2025;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
19;22/02/2026;Otite recorrente;Alergia alimentar suspeita;27,11;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;12;Gripe Canina (V4);03/11/2024;03/11/2025;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
19;22/02/2026;Otite recorrente;Alergia alimentar suspeita;27,11;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;13;Antirrábica;26/09/2025;26/09/2026;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
20;04/04/2026;Otite recorrente;Alergia alimentar suspeita;27,48;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;10;Giárdia;08/10/2025;08/10/2026;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
20;04/04/2026;Otite recorrente;Alergia alimentar suspeita;27,48;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;11;V10 (Polivalente);14/12/2024;14/12/2025;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
20;04/04/2026;Otite recorrente;Alergia alimentar suspeita;27,48;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;12;Gripe Canina (V4);03/11/2024;03/11/2025;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
20;04/04/2026;Otite recorrente;Alergia alimentar suspeita;27,48;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;13;Antirrábica;26/09/2025;26/09/2026;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
21;26/07/2026;Otite recorrente;Alergia alimentar suspeita;27,6;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;10;Giárdia;08/10/2025;08/10/2026;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
21;26/07/2026;Otite recorrente;Alergia alimentar suspeita;27,6;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;11;V10 (Polivalente);14/12/2024;14/12/2025;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
21;26/07/2026;Otite recorrente;Alergia alimentar suspeita;27,6;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;12;Gripe Canina (V4);03/11/2024;03/11/2025;4;DEA 4+;Alergia alimentar (proteína animal);Dermatite alérgica recorrente;N;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
21;26/07/2026;Otite recorrente;Alergia alimentar suspeita;27,6;4;Mel;Cachorro;Labrador;04/03/2022 09:00;Fêmea;4;João Pedro Almeida;13;Antirrábica;26/09/2025;26/09/2026;4;DEA 4+;;Cardiopatia valvar degenerativa;S;05/08/2026 09:00;2;Hospital Veterinário Amigo Fiel;1
22;15/02/2025;Nenhum sintoma - checkup de rotina;Check-up preventivo normal;5,68;5;Bidu;Cachorro;Shih Tzu;28/10/2012 09:00;Macho;5;Fernanda Rocha Silva;14;Giárdia;19/10/2024;19/10/2025;5;DEA 1.1-;;Cardiopatia valvar degenerativa;S;11/07/2026 09:00;1;Clínica VidaPet - Unidade Moema;0
22;15/02/2025;Nenhum sintoma - checkup de rotina;Check-up preventivo normal;5,68;5;Bidu;Cachorro;Shih Tzu;28/10/2012 09:00;Macho;5;Fernanda Rocha Silva;15;Antirrábica;26/02/2026;26/02/2027;5;DEA 1.1-;;Cardiopatia valvar degenerativa;S;11/07/2026 09:00;1;Clínica VidaPet - Unidade Moema;0
22;15/02/2025;Nenhum sintoma - checkup de rotina;Check-up preventivo normal;5,68;5;Bidu;Cachorro;Shih Tzu;28/10/2012 09:00;Macho;5;Fernanda Rocha Silva;16;Gripe Canina (V4);12/10/2024;12/10/2025;5;DEA 1.1-;;Cardiopatia valvar degenerativa;S;11/07/2026 09:00;1;Clínica VidaPet - Unidade Moema;0
22;15/02/2025;Nenhum sintoma - checkup de rotina;Check-up preventivo normal;5,68;5;Bidu;Cachorro;Shih Tzu;28/10/2012 09:00;Macho;5;Fernanda Rocha Silva;17;V10 (Polivalente);03/09/2025;03/09/2026;5;DEA 1.1-;;Cardiopatia valvar degenerativa;S;11/07/2026 09:00;1;Clínica VidaPet - Unidade Moema;0
23;11/12/2025;Cansaço fácil;Doença valvar degenerativa - fase inicial;5,36;5;Bidu;Cachorro;Shih Tzu;28/10/2012 09:00;Macho;5;Fernanda Rocha Silva;14;Giárdia;19/10/2024;19/10/2025;5;DEA 1.1-;;Cardiopatia valvar degenerativa;S;11/07/2026 09:00;1;Clínica VidaPet - Unidade Moema;1
23;11/12/2025;Cansaço fácil;Doença valvar degenerativa - fase inicial;5,36;5;Bidu;Cachorro;Shih Tzu;28/10/2012 09:00;Macho;5;Fernanda Rocha Silva;15;Antirrábica;26/02/2026;26/02/2027;5;DEA 1.1-;;Cardiopatia valvar degenerativa;S;11/07/2026 09:00;1;Clínica VidaPet - Unidade Moema;1
23;11/12/2025;Cansaço fácil;Doença valvar degenerativa - fase inicial;5,36;5;Bidu;Cachorro;Shih Tzu;28/10/2012 09:00;Macho;5;Fernanda Rocha Silva;16;Gripe Canina (V4);12/10/2024;12/10/2025;5;DEA 1.1-;;Cardiopatia valvar degenerativa;S;11/07/2026 09:00;1;Clínica VidaPet - Unidade Moema;1
